Date,Broker,Ticker,Lot,Avg,Value
2025-10-13,AK,AALI,9372,7608.070150253613,7112452500
2025-10-13,NI,AALI,1508,7486.84796437659,1127600000
2025-10-13,YU,AALI,1194,7785.125523012553,929542500
2025-10-13,YP,AALI,908,7701.820452155625,681952500
2025-10-13,IF,AALI,43,7725,33217500
2025-10-13,EP,AALI,681,7629.617117117117,516805000
2025-10-13,XC,AALI,125,7704.185022026431,95507500
2025-10-13,HP,AALI,7,7750,5177500
2025-10-13,AT,AALI,10,7533.333333333333,7375000
2025-10-13,BK,AALI,602,7784.969591659426,470377500
2025-10-13,AI,AALI,292,7691.025641025641,224360000
2025-10-13,PP,AALI,14,7800,10920000
2025-10-13,OD,AALI,179,7743.657270029674,137137500
2025-10-13,XA,AALI,16,7740.625,12385000
2025-10-13,TP,AALI,555,7738.779863481229,429400000
2025-10-13,FS,AALI,10,7600,7600000
2025-10-13,XL,AALI,330,7675.438047559449,254777500
2025-10-13,IH,AALI,10,7300,7300000
2025-10-13,LS,AALI,2,7725,1695000
2025-10-13,AG,AALI,300,7783.333333333333,233500000
2025-10-13,DX,AALI,154,7713.636363636364,118790000
2025-10-13,IU,AALI,135,7825,105637500
2025-10-13,CD,AALI,100,7575,73750000
2025-10-13,GR,AALI,77,7491.851851851852,56270000
2025-10-13,CC,AALI,-2839,7445.922404933196,-1991817500
2025-10-13,CP,AALI,-9085,7728.828343743269,-7022250000
2025-10-13,YJ,AALI,-29,7750,-22472500
2025-10-13,RF,AALI,-20,7750,-15500000
2025-10-13,ES,AALI,0,7708.20895522388,-2062500
2025-10-13,ZP,AALI,-2065,7712.800335257963,-1578925000
2025-10-13,LG,AALI,-970,7798.293963254593,-758465000
2025-10-13,MG,AALI,-809,7725,-624950000
2025-10-13,SQ,AALI,-281,7672.905525846702,-216252500
2025-10-13,BQ,AALI,-7,7658.333333333333,-5250000
2025-10-13,KI,AALI,-40,7821.25,-31285000
2025-10-13,DR,AALI,-4,7817.391304347826,-5680000
2025-10-13,KK,AALI,-108,7742.474226804124,-84817500
2025-10-13,YB,AALI,-105,7759,-81387500
2025-10-13,MI,AALI,-98,7800,-76530000
2025-10-13,AZ,AALI,-55,7687.5,-42850000
2025-10-13,PD,AALI,-32,7758.900999091735,-31775000
2025-10-13,DH,AALI,-63,7795.559210526316,-50177500
2025-10-13,HD,AALI,-14,7750.375939849624,-11082500
2025-10-13,OD,ABBA,533,73,3890900
2025-10-13,GR,ABBA,20000,73,146000000
2025-10-13,KI,ABBA,100,73,730000
2025-10-13,XL,ABBA,13548,73,98900400
2025-10-13,DR,ABBA,107,73,781100
2025-10-13,GI,ABBA,6,73,43800
2025-10-13,YU,ABBA,10000,73,73000000
2025-10-13,AG,ABBA,5000,73,36500000
2025-10-13,SQ,ABBA,4015,73,29309500
2025-10-13,AT,ABBA,2000,73,14600000
2025-10-13,AI,ABBA,50,73,365000
2025-10-13,QA,ABBA,1,73,7300
2025-10-13,EP,ABBA,900,73,6570000
2025-10-13,ZP,ABBA,100,73,730000
2025-10-13,LG,ABBA,650,73,4745000
2025-10-13,HP,ABBA,24,73,175200
2025-10-13,KK,ABBA,264,73,1927200
2025-10-13,YB,ABBA,-2700,73,-19710000
2025-10-13,YP,ABBA,-21696,73,-158380800
2025-10-13,MG,ABBA,-200,73,-1460000
2025-10-13,BQ,ABBA,-70,73,-511000
2025-10-13,CC,ABBA,-13587,73,-99185100
2025-10-13,XC,ABBA,-7802,73,-56954600
2025-10-13,AO,ABBA,-5537,73,-40420100
2025-10-13,CP,ABBA,-1576,73,-11504800
2025-10-13,DH,ABBA,-1448,73,-10570400
2025-10-13,AZ,ABBA,-71,73,-518300
2025-10-13,NI,ABBA,-1243,73,-9073900
2025-10-13,PD,ABBA,-868,73,-6336400
2025-10-13,IF,ABBA,-500,73,-3650000
2025-10-13,XC,ABMM,185,2760.9139784946237,50877000
2025-10-13,PD,ABMM,491,2756.3683662851195,135096000
2025-10-13,GR,ABMM,426,2755.924369747899,117382000
2025-10-13,DX,ABMM,2,2760,552000
2025-10-13,XL,ABMM,308,2758.098360655738,84886000
